repositorio,url,pull_requests_aceitas
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,4119
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,744
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2821
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,1229
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,496
nexu-io/open-design,https://github.com/nexu-io/open-design,2903
vllm-project/vllm,https://github.com/vllm-project/vllm,20155
gohugoio/hugo,https://github.com/gohugoio/hugo,3485
gin-gonic/gin,https://github.com/gin-gonic/gin,1248
zed-industries/zed,https://github.com/zed-industries/zed,26469
astral-sh/uv,https://github.com/astral-sh/uv,10146
infiniflow/ragflow,https://github.com/infiniflow/ragflow,8548
localsend/localsend,https://github.com/localsend/localsend,732
addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,133
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,912
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,484
django/django,https://github.com/django/django,10691
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,3199
sveltejs/svelte,https://github.com/sveltejs/svelte,6791
syncthing/syncthing,https://github.com/syncthing/syncthing,2931
ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,23
odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,1434
OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,192
laravel/laravel,https://github.com/laravel/laravel,1710
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,7510
macrozheng/mall,https://github.com/macrozheng/mall,1
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,309
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,175
realworld-apps/realworld,https://github.com/realworld-apps/realworld,435
koala73/worldmonitor,https://github.com/koala73/worldmonitor,4646
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,283
animate-css/animate.css,https://github.com/animate-css/animate.css,315
junegunn/fzf,https://github.com/junegunn/fzf,687
fighting41love/funNLP,https://github.com/fighting41love/funNLP,14
vitejs/vite,https://github.com/vitejs/vite,6611
tonsky/FiraCode,https://github.com/tonsky/FiraCode,145
mlabonne/llm-course,https://github.com/mlabonne/llm-course,2
lobehub/lobehub,https://github.com/lobehub/lobehub,7914
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,2046
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,200
bytedance/deer-flow,https://github.com/bytedance/deer-flow,1777
TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,1
netdata/netdata,https://github.com/netdata/netdata,12928
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,571
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,2141
Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,123
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,1569
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,1019
doocs/advanced-java,https://github.com/doocs/advanced-java,94
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,59
coder/code-server,https://github.com/coder/code-server,1761
paperclipai/paperclip,https://github.com/paperclipai/paperclip,1790
ventoy/Ventoy,https://github.com/ventoy/Ventoy,302
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,231
Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,8
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,188
opendatalab/MinerU,https://github.com/opendatalab/MinerU,1539
elastic/elasticsearch,https://github.com/elastic/elasticsearch,95620
tensorflow/models,https://github.com/tensorflow/models,2345
dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,342
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,938
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,222
rtk-ai/rtk,https://github.com/rtk-ai/rtk,552
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,63
nestjs/nest,https://github.com/nestjs/nest,8699
grafana/grafana,https://github.com/grafana/grafana,69505
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,430
redis/redis,https://github.com/redis/redis,4762
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,1467
AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,3895
ocornut/imgui,https://github.com/ocornut/imgui,427
typicode/json-server,https://github.com/typicode/json-server,171
D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,106
openai/openai-cookbook,https://github.com/openai/openai-cookbook,1083
obsproject/obs-studio,https://github.com/obsproject/obs-studio,5563
PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,319
caddyserver/caddy,https://github.com/caddyserver/caddy,2393
shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,82
python/cpython,https://github.com/python/cpython,62687
enaqx/awesome-react,https://github.com/enaqx/awesome-react,799
apache/superset,https://github.com/apache/superset,19707
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,83
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,1020
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,929
Eugeny/tabby,https://github.com/Eugeny/tabby,1580
unslothai/unsloth,https://github.com/unslothai/unsloth,3564
datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,171
unionlabs/union,https://github.com/unionlabs/union,3128
twitter/the-algorithm,https://github.com/twitter/the-algorithm,2
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,180
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,3655
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,37
