repositorio,url,total_releases
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,0
tldr-pages/tldr,https://github.com/tldr-pages/tldr,6
ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,34
socketio/socket.io,https://github.com/socketio/socket.io,98
asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,0
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,11
resume/resume.github.com,https://github.com/resume/resume.github.com,0
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,0
jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,187
git/git,https://github.com/git/git,0
pathwaycom/pathway,https://github.com/pathwaycom/pathway,89
usememos/memos,https://github.com/usememos/memos,96
topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,156
youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,0
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,0
withastro/astro,https://github.com/withastro/astro,1000
PlexPt/awesome-chatgpt-prompts-zh,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,0
sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,0
reduxjs/redux,https://github.com/reduxjs/redux,78
FuelLabs/sway,https://github.com/FuelLabs/sway,189
minio/minio,https://github.com/minio/minio,521
lodash/lodash,https://github.com/lodash/lodash,4
2dust/v2rayNG,https://github.com/2dust/v2rayNG,307
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,4
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,0
upstash/context7,https://github.com/upstash/context7,105
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,0
1c7/chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,0
xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,0
ChrisTitusTech/winutil,https://github.com/ChrisTitusTech/winutil,45
tw93/Pake,https://github.com/tw93/Pake,51
atom/atom,https://github.com/atom/atom,538
nuxt/nuxt,https://github.com/nuxt/nuxt,291
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,449
coollabsio/coolify,https://github.com/coollabsio/coolify,690
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,284
microsoft/autogen,https://github.com/microsoft/autogen,98
pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,126
adam-p/markdown-here,https://github.com/adam-p/markdown-here,17
marktext/marktext,https://github.com/marktext/marktext,47
sharkdp/bat,https://github.com/sharkdp/bat,43
pbakaus/impeccable,https://github.com/pbakaus/impeccable,45
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,363
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,0
ghostty-org/ghostty,https://github.com/ghostty-org/ghostty,1
jquery/jquery,https://github.com/jquery/jquery,13
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,55
meta-llama/llama,https://github.com/meta-llama/llama,0
starship/starship,https://github.com/starship/starship,141
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,14
termux/termux-app,https://github.com/termux/termux-app,95
rclone/rclone,https://github.com/rclone/rclone,131
byoungd/up,https://github.com/byoungd/up,0
pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,0
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,330
rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,0
penpot/penpot,https://github.com/penpot/penpot,85
rails/rails,https://github.com/rails/rails,168
mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,41
tiimgreen/github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,0
pmndrs/zustand,https://github.com/pmndrs/zustand,105
angular/angular.js,https://github.com/angular/angular.js,0
MemPalace/mempalace,https://github.com/MemPalace/mempalace,15
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,3
ultralytics/yolov5,https://github.com/ultralytics/yolov5,10
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,34
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,0
go-gitea/gitea,https://github.com/go-gitea/gitea,235
deepfakes/faceswap,https://github.com/deepfakes/faceswap,5
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,14
karpathy/nanochat,https://github.com/karpathy/nanochat,0
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,230
wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,0
Textualize/rich,https://github.com/Textualize/rich,177
appwrite/appwrite,https://github.com/appwrite/appwrite,132
FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,130
soimort/you-get,https://github.com/soimort/you-get,123
remotion-dev/remotion,https://github.com/remotion-dev/remotion,672
BerriAI/litellm,https://github.com/BerriAI/litellm,1000
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,2
remix-run/react-router,https://github.com/remix-run/react-router,344
golang-standards/project-layout,https://github.com/golang-standards/project-layout,0
Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,1
makeplane/plane,https://github.com/makeplane/plane,62
laurent22/joplin,https://github.com/laurent22/joplin,417
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,158
jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,112
azl397985856/leetcode,https://github.com/azl397985856/leetcode,40
Raphire/Win11Debloat,https://github.com/Raphire/Win11Debloat,37
firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,0
typst/typst,https://github.com/typst/typst,30
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,85
AntonOsika/gpt-engineer,https://github.com/AntonOsika/gpt-engineer,21
twentyhq/twenty,https://github.com/twentyhq/twenty,102
