repositorio,url,ultima_atualizacao,dias_desde_ultima_atualizacao
nothings/stb,https://github.com/nothings/stb,2026-08-18T20:05:24Z,0.01
anthropics/financial-services,https://github.com/anthropics/financial-services,2026-08-18T18:49:25Z,0.07
raysan5/raylib,https://github.com/raysan5/raylib,2026-08-18T16:31:46Z,0.16
derailed/k9s,https://github.com/derailed/k9s,2026-08-18T16:26:39Z,0.17
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2026-08-18T15:37:20Z,0.2
CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,2026-08-18T02:32:17Z,0.75
huggingface/diffusers,https://github.com/huggingface/diffusers,2026-08-18T20:16:50Z,0.01
xitu/gold-miner,https://github.com/xitu/gold-miner,2026-08-18T15:36:56Z,0.2
jaredpalmer/formik,https://github.com/jaredpalmer/formik,2026-08-18T11:38:56Z,0.37
nodejs/node-v0.x-archive,https://github.com/nodejs/node-v0.x-archive,2026-08-18T07:08:57Z,0.55
python-poetry/poetry,https://github.com/python-poetry/poetry,2026-08-18T20:31:48Z,-0.0
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,2026-08-18T03:37:47Z,0.7
openai/CLIP,https://github.com/openai/CLIP,2026-08-18T16:44:04Z,0.15
balena-io/etcher,https://github.com/balena-io/etcher,2026-08-18T15:30:43Z,0.21
swc-project/swc,https://github.com/swc-project/swc,2026-08-18T19:20:31Z,0.05
backstage/backstage,https://github.com/backstage/backstage,2026-08-18T19:34:29Z,0.04
ehang-io/nps,https://github.com/ehang-io/nps,2026-08-18T15:05:46Z,0.22
seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,2026-08-18T20:06:31Z,0.01
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,2026-08-18T09:31:12Z,0.46
testerSunshine/12306,https://github.com/testerSunshine/12306,2026-08-18T15:16:07Z,0.22
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,2026-08-18T19:54:01Z,0.02
aristocratos/btop,https://github.com/aristocratos/btop,2026-08-18T19:30:07Z,0.04
lllyasviel/ControlNet,https://github.com/lllyasviel/ControlNet,2026-08-18T10:12:28Z,0.43
lightpanda-io/browser,https://github.com/lightpanda-io/browser,2026-08-18T17:35:04Z,0.12
zxing/zxing,https://github.com/zxing/zxing,2026-08-18T20:02:07Z,0.02
qdrant/qdrant,https://github.com/qdrant/qdrant,2026-08-18T20:19:43Z,0.0
fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,2026-08-18T18:41:29Z,0.07
OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,2026-08-18T18:05:59Z,0.1
